Tag,Path,Mode,Methods,Description
DB_Moving Loads,/DB/MVHC,,"GET, POST, PUT, DELETE","Delete Db Mvhc"
DB_Moving Loads,/DB/MVHC/{id},,"GET, POST, PUT, DELETE","Delete Db Mvhc Key"
DB_Moving Loads,/DB/MVHL,,"GET, POST, PUT, DELETE","Delete Db Mvhl"
DB_Moving Loads,/DB/MVHL/{id},,"GET, POST, PUT, DELETE","Delete Db Mvhl Key"
DB_Moving Loads,/DB/MVHLTR,,"GET, POST, PUT, DELETE","Delete Db Mvhltr"
DB_Moving Loads,/DB/MVHLTR/{id},,"GET, POST, PUT, DELETE","Delete Db Mvhltr Key"
DB_Moving Loads,/DB/MVLD,,"GET, POST, PUT, DELETE","Delete Db Mvld"
DB_Moving Loads,/DB/MVLD/{id},,"GET, POST, PUT, DELETE","Delete Db Mvld Key"
DB_Moving Loads,/DB/MVLDBS,,"GET, POST, PUT, DELETE","Delete Db Mvldbs"
DB_Moving Loads,/DB/MVLDBS/{id},,"GET, POST, PUT, DELETE","Delete Db Mvldbs Key"
DB_Moving Loads,/DB/MVLDCH,,"GET, POST, PUT, DELETE","Delete Db Mvldch"
DB_Moving Loads,/DB/MVLDCH/{id},,"GET, POST, PUT, DELETE","Delete Db Mvldch Key"
DB_Moving Loads,/DB/MVLDEU,,"GET, POST, PUT, DELETE","Delete Db Mvldeu"
DB_Moving Loads,/DB/MVLDEU/{id},,"GET, POST, PUT, DELETE","Delete Db Mvldeu Key"
DB_Moving Loads,/DB/MVLDID,,"GET, POST, PUT, DELETE","Delete Db Mvldid"
DB_Moving Loads,/DB/MVLDID/{id},,"GET, POST, PUT, DELETE","Delete Db Mvldid Key"
DB_Moving Loads,/DB/MVLDJP,,"GET, POST, PUT, DELETE","Delete Db Mvldjp"
DB_Moving Loads,/DB/MVLDJP/{id},,"GET, POST, PUT, DELETE","Delete Db Mvldjp Key"
DB_Moving Loads,/DB/MVLDPL,,"GET, POST, PUT, DELETE","Delete Db Mvldpl"
DB_Moving Loads,/DB/MVLDPL/{id},,"GET, POST, PUT, DELETE","Delete Db Mvldpl Key"
DB_Moving Loads,/DB/MVLDTR,,"GET, POST, PUT, DELETE","Delete Db Mvldtr"
DB_Moving Loads,/DB/MVLDTR/{id},,"GET, POST, PUT, DELETE","Delete Db Mvldtr Key"
DB_Static Loads,/DB/NBOF,,"GET, POST, PUT, DELETE","Delete Db Nbof"
DB_Static Loads,/DB/NBOF/{id},,"GET, POST, PUT, DELETE","Delete Db Nbof Key"
DB_Analysis,/DB/NLCT,,"GET, POST, PUT, DELETE","Delete Db Nlct"
DB_Analysis,/DB/NLCT/{id},,"GET, POST, PUT, DELETE","Delete Db Nlct Key"
DB_Boundary,/DB/NLLP,,"GET, POST, PUT, DELETE","Delete Db Nllp"
DB_Boundary,/DB/NLLP/{id},,"GET, POST, PUT, DELETE","Delete Db Nllp Key"
DB_Boundary,/DB/NLNK,,"GET, POST, PUT, DELETE","Delete Db Nlnk"
DB_Boundary,/DB/NLNK/{id},,"GET, POST, PUT, DELETE","Delete Db Nlnk Key"
DB_Static Loads,/DB/NMAS,,"GET, POST, PUT, DELETE","Delete Db Nmas"
DB_Static Loads,/DB/NMAS/{id},,"GET, POST, PUT, DELETE","Delete Db Nmas Key"
DB_Node/Element,/DB/NODE,,"GET, POST, PUT, DELETE","Delete Db Node"
DB_Node/Element,/DB/NODE/{id},,"GET, POST, PUT, DELETE","Delete Db Node Key"
DB_View,/DB/NPLN,,"GET, POST, PUT, DELETE","Delete Db Npln"
DB_View,/DB/NPLN/{id},,"GET, POST, PUT, DELETE","Delete Db Npln Key"
DB_Boundary,/DB/NSPR,,"GET, POST, PUT, DELETE","Delete Db Nspr"
DB_Boundary,/DB/NSPR/{id},,"GET, POST, PUT, DELETE","Delete Db Nspr Key"
DB_Temperature Loads,/DB/NTMP,,"GET, POST, PUT, DELETE","Delete Db Ntmp"
DB_Temperature Loads,/DB/NTMP/{id},,"GET, POST, PUT, DELETE","Delete Db Ntmp Key"
DB_View,/DB/NUCS,,"GET, POST, PUT, DELETE","Delete Db Nucs"
DB_View,/DB/NUCS/{id},,"GET, POST, PUT, DELETE","Delete Db Nucs Key"
DB_Boundary,/DB/OFFS,,"GET, POST, PUT, DELETE","Delete Db Offs"
DB_Boundary,/DB/OFFS/{id},,"GET, POST, PUT, DELETE","Delete Db Offs Key"
DB_Analysis,/DB/PDEL,,"GET, POST, PUT, DELETE","Delete Db Pdel"
