Tag,Path,Mode,Methods,Description
Description,/INFO/DB/TDMF,,GET,Time Dependent Material Properties - User Defined
Description,/INFO/DB/TDMT,,GET,Time Dependent Material Properties - Creep/Shrinkage
Description,/INFO/DB/TDNA,,GET,Tendon Profile
Description,/INFO/DB/TDNT,,GET,Tendon Property
Description,/INFO/DB/TDPL,,GET,Tendon Prestress
Description,/INFO/DB/THFC,,GET,Time History Functions
Description,/INFO/DB/THGA,,GET,Ground Acceleration
Description,/INFO/DB/THGC,,GET,Time History Global Control
Description,/INFO/DB/THIK,,GET,Thickness - Stiffened Value
Description,/INFO/DB/THIS,,GET,Time History Load Cases
Description,/INFO/DB/THMS,,GET,Multiple Support Excitation
Description,/INFO/DB/THNL,,GET,Dynamic Nodal Loads
Description,/INFO/DB/THRE,,GET,Time History Graph - Element Force Smart Graph
Description,/INFO/DB/THRG,,GET,Time History Graph - General Link Smart Graph
Description,/INFO/DB/THRI,,GET,Time History Graph - Inelastic Hinge Smart Graph
Description,/INFO/DB/THSL,,GET,Time Varying Static Loads
Description,/INFO/DB/TMAT,,GET,Time Dependent Material Link
Description,/INFO/DB/TMLD,,GET,Time Loads for Construction Stage
Description,/INFO/DB/TSGR,,GET,Tapered Group
Description,/INFO/DB/UFIG,,GET,Description Ufig
Description,/INFO/DB/ULFC,,GET,Cable Control - Unknown Load Factor Constraints
Description,/INFO/DB/UNIT,,GET,Unit System
Description,/INFO/DB/VBEM,,GET,Section Manager - Section for Resultant Forces - Virtual Beam
Description,/INFO/DB/VSEC,,GET,Section Manager - Section for Resultant Forces - Virtual Section
Description,/INFO/DB/WMAK,,GET,Modify Wall Mark Design
Description,/INFO/DB/WSSF,,GET,Description Wssf
Description,/INFO/DB/WVLD,,GET,Wave Loads
OPE,/OPE/ANALSTATUS,,POST,Post Ope Analstatus
OPE,/OPE/APIEND,,GET,Get Ope Apiend
OPE,/OPE/APISTART,,GET,Get Ope Apistart
OPE,/OPE/AUTOMESH,,POST,Auto-Mesh Planar Area
OPE,/OPE/BOM,,POST,Post Ope Bom
OPE,/OPE/DIVIDEELEM,,POST,Divide Elements
OPE,/OPE/EDMP,,POST,Change Property
OPE,/OPE/ELEMPAR,,POST,Post Ope Elempar
OPE,/OPE/ELEMTDNT,,POST,Post Ope Elemtdnt
OPE,/OPE/LINEBMLD,,POST,Line Beam Load
OPE,/OPE/MATL_DB/{TYPE or STANDARD},,GET,Get Ope Matl Db With Param
OPE,/OPE/MATL_STANDARD/{TYPE},,GET,Get Ope Matl Standard With Param
OPE,/OPE/MEMB,,POST,Member Assignment
OPE,/OPE/MODALDAMPINGRATIO,,POST,Post Ope Modaldampingratio
OPE,/OPE/MXTCMDSHELL,,POST,Post Ope Mxtcmdshell
OPE,/OPE/MXTCMDSHELL/{CMD},,GET,Get Ope Mxtcmdshell With Param
OPE,/OPE/MXTINFO,,GET,Get Ope Mxtinfo
OPE,/OPE/PLATE_DECK,,POST,Post Ope Plate Deck
OPE,/OPE/POSP,,POST,Post Ope Posp
OPE,/OPE/PROJECTSTATUS,,GET,Project Status
OPE,/OPE/SECTCORD,,POST,Post Ope Sectcord
